text,label
I cannot log in to my account,2
The app keeps crashing on my phone,1
Can you add multi-language support?,4
Why is the website so slow today?,1
"I was charged twice, need a refund",3
The app keeps crashing on my phone,1
I need to reset my password,2
I was charged extra on my bill,0
I want fingerprint login in the next update,4
Please explain this additional charge on my invoice,0
The app keeps crashing on my phone,1
I was charged extra on my bill,0
Why was I charged twice this month?,0
Why is the website so slow today?,1
I want to deactivate my account temporarily,2
Please return the money for the wrong product,3
Introduce a monthly subscription plan,4
The printer is not responding to my computer,1
Why is the website so slow today?,1
I want to deactivate my account temporarily,2
Please explain this additional charge on my invoice,0
I cannot connect to the server,1
Can you add multi-language support?,4
Please add more payment methods,4
"I was charged twice, need a refund",3
Why hasn’t my refund been processed yet?,3
I was charged extra on my bill,0
Why is the website so slow today?,1
Why hasn’t my refund been processed yet?,3
"I was charged twice, need a refund",3
I cannot connect to the server,1
My internet is not working,1
I want fingerprint login in the next update,4
Refund my last payment immediately,3
"I was charged twice, need a refund",3
Can you add multi-language support?,4
Introduce a monthly subscription plan,4
Refund my last payment immediately,3
Can you add multi-language support?,4
I cannot log in to my account,2
Please change my registered email address,2
Please add more payment methods,4
Can you add multi-language support?,4
I cannot connect to the server,1
I want to deactivate my account temporarily,2
My monthly subscription amount is wrong,0
Please add dark mode in the app,4
I need to reset my password,2
I cannot connect to the server,1
The printer is not responding to my computer,1
I was charged extra on my bill,0
Can you add multi-language support?,4
My internet is not working,1
Please change my registered email address,2
Please change my registered email address,2
I want fingerprint login in the next update,4
My internet is not working,1
The printer is not responding to my computer,1
Introduce a monthly subscription plan,4
I want fingerprint login in the next update,4
Please add more payment methods,4
I want fingerprint login in the next update,4
I cannot log in to my account,2
Please add more payment methods,4
Can you add multi-language support?,4
The printer is not responding to my computer,1
I canceled the order but didn’t get a refund,3
Why was I charged twice this month?,0
Please return the money for the wrong product,3
I cannot connect to the server,1
Please return the money for the wrong product,3
Why was I charged twice this month?,0
My internet is not working,1
Why hasn’t my refund been processed yet?,3
The printer is not responding to my computer,1
I want fingerprint login in the next update,4
The app keeps crashing on my phone,1
I was charged extra on my bill,0
I canceled the order but didn’t get a refund,3
Why hasn’t my refund been processed yet?,3
Please explain this additional charge on my invoice,0
I want fingerprint login in the next update,4
I was charged extra on my bill,0
There is an incorrect billing on my account,0
I cannot connect to the server,1
Please return the money for the wrong product,3
Introduce a monthly subscription plan,4
Why was I charged twice this month?,0
Please change my registered email address,2
Refund my last payment immediately,3
I want to deactivate my account temporarily,2
Please add dark mode in the app,4
Why hasn’t my refund been processed yet?,3
I was charged extra on my bill,0
My internet is not working,1
How do I update my contact information?,2
Please add more payment methods,4
I need to reset my password,2
Please add dark mode in the app,4
I cannot connect to the server,1
